popularity,budget,revenue,original_title,director,runtime,genres,production_companies,vote_count,vote_average,release_year
3.3391349999999997,175000000,331926147,The Good Dinosaur,Peter Sohn,93,Adventure|Animation|Comedy|Family|Fantasy,Walt Disney Pictures|Pixar Animation Studios|Buena Vista,1087,6.6,2015
3.23737,50000000,71561644,Run All Night,Jaume Collet-Serra,114,Action|Crime|Drama|Mystery|Thriller,Vertigo Entertainment|Energy Entertainment|RatPac-Dune Entertainment,814,6.3,2015
3.227329,11000000,62076141,Brooklyn,John Crowley,111,Drama|Romance,Wildgaze Films|Irish Film Board|Item 7|Parallel Film Productions,754,7.3,2015
3.2027189999999996,28000000,201634991,Straight Outta Compton,F. Gary Gray,147,Drama|Music,New Line Cinema|Universal Pictures|Legendary Pictures|Cube Vision|Broken Chair Flickz,918,7.7,2015
3.080505,90000000,140396650,The Last Witch Hunter,Breck Eisner,106,Fantasy|Action|Adventure,Summit Entertainment|Atmosphere Entertainment MM|One Race Films|Goldmann Pictures|NeoReel,879,5.6,2015
3.0795220000000003,30000000,34441873,Steve Jobs,Danny Boyle,122,History|Drama,Universal Pictures|Scott Rudin Productions|Legendary Pictures|The Mark Gordon Company|Management 360,1035,6.9,2015
3.0534209999999997,75000000,108145109,The Man from U.N.C.L.E.,Guy Ritchie,116,Comedy|Action|Adventure,Davis Entertainment|Warner Bros.|Wigram Productions|RatPac-Dune Entertainment,1548,7.0,2015
3.025852,25000000,42629776,The Age of Adaline,Lee Toland Krieger,112,Fantasy|Drama|Romance,Lakeshore Entertainment|Sidney Kimmel Entertainment|Sierra/Affinity,1221,7.3,2015
3.023253,10000000,14333790,Hardcore Henry,Ilya Naishuller,97,Action|Adventure|Science Fiction,Bazelevs Production|Versus Pictures,396,5.9,2015
2.976436,135000000,368871007,Home,Tim Johnson,94,Fantasy|Comedy|Animation|Science Fiction|Family,Twentieth Century Fox Film Corporation|DreamWorks Animation,1060,6.9,2015
2.968254,12000000,85512300,Paper Towns,Jake Schreier,109,Drama|Mystery|Romance,Fox 2000 Pictures,1252,6.2,2015
2.8851259999999996,4000000,9064511,The Lobster,Yorgos Lanthimos,118,Thriller|Comedy|Drama|Romance|Science Fiction,Haut et Court|Eurimages|Lemming Film|Element Pictures|Nederlands Fonds voor de Film,638,6.6,2015
2.883233,11800000,40272135,Carol,Todd Haynes,118,Romance|Drama,Killer Films|Film4|Number 9 Films,562,7.1,2015
2.8148020000000002,35000000,194564672,The Intern,Nancy Meyers,121,Comedy,Waverly Films|Warner Bros.,1255,7.1,2015
2.7980169999999998,55000000,203427584,Everest,Baltasar KormÃ¡kur,121,Adventure|Drama,Universal Pictures|Working Title Films|Walden Media|Cross Creek Pictures|Free State Pictures,1172,6.7,2015
2.793297,60000000,101134059,Joy,David O. Russell,124,Comedy|Drama,Fox 2000 Pictures|Davis Entertainment|Annapurna Pictures|TSG Entertainment,1001,6.4,2015
2.6144990000000004,105000000,133718711,Point Break,Ericson Core,114,Action|Crime|Thriller,Studio Babelsberg|Alcon Entertainment|DMG Entertainment|Ehman Productions,505,5.5,2015
2.584264,20000000,36606743,Burnt,John Wells,100,Drama,Double Feature Films|PeaPie Films|3 Arts Entertainment,631,6.3,2015
2.578919,26000000,30523226,Self/less,Tarsem Singh,116,Science Fiction|Mystery|Thriller,Endgame Entertainment|Ram Bergman Productions,719,6.2,2015
2.575711,60000000,30418560,Mortdecai,David Koepp,106,Comedy|Adventure,Lionsgate|Mad Chance|OddLot Entertainment|Huayi Brothers Media,696,5.3,2015
2.557859,15000000,64191523,The Danish Girl,Tom Hooper,120,Drama,Pretty Pictures|Working Title Films|ArtÃ©mis Productions|Le Tax Shelter du Gouvernement FÃ©dÃ©ral de Belgique|Taxshelter. be,867,7.3,2015
2.5507470000000003,70000000,17752940,Blackhat,Michael Mann,133,Mystery|Crime|Action|Thriller|Drama,Universal Pictures|Forward Pass|Legendary Pictures,584,5.0,2015
2.487849,30000000,84025816,Sicario,Denis Villeneuve,121,Action|Crime|Drama|Mystery|Thriller,Lionsgate|Thunder Road Pictures|Black Label Media,1479,7.1,2015
2.4870419999999998,120000001,167977596,Fantastic Four,Josh Trank,100,Action|Adventure|Science Fiction,Twentieth Century Fox Film Corporation|Marv Films|Marvel Entertainment|Constantin Film.|Moving Picture Company (MPC),1565,4.4,2015
2.46449,3500000,40423945,The Witch,Robert Eggers,92,Mystery|Horror,Parts and Labor|RT Features|Rooks Nest Entertainment|Maiden Voyage Pictures|Pulse Films,700,5.8,2015
2.404473,65000000,235666219,Spy,Paul Feig,120,Action|Comedy|Crime,Twentieth Century Fox Film Corporation|Chernin Entertainment|Feigco Entertainment,1840,6.9,2015
2.395366,50100000,153962963,Focus,Glenn Ficarra|John Requa,105,Romance|Comedy|Crime|Drama,Kramer & Sigman Films|RatPac-Dune Entertainment|Zaftig Films,1831,6.7,2015
2.354654,35000000,82347656,Hitman: Agent 47,Aleksander Bach,96,Action|Crime|Thriller,Twentieth Century Fox Film Corporation|Fox International Productions|Infinite Frameworks Studios|TSG Entertainment,820,5.5,2015
2.345821,100000000,93820758,In the Heart of the Sea,Ron Howard,122,Thriller|Drama|Adventure|Action|History,Imagine Entertainment|Spring Creek Productions|Warner Bros.|Roth Films|K. JAM Media,805,6.4,2015
2.3315669999999997,35000000,137935567,Creed,Ryan Coogler,133,Drama,New Line Cinema|Warner Bros.|Metro-Goldwyn-Mayer (MGM)|Chartoff-Winkler Productions,1171,7.3,2015
2.31767,35000000,140795793,Trainwreck,Judd Apatow,125,Comedy,Universal Pictures|Fuji Television Network|Dentsu|Apatow Productions,849,6.1,2015
2.29573,13000000,32848185,Eye in the Sky,Gavin Hood,102,Drama|Thriller|War,Entertainment One|Moonlighting Films|Raindog Films,265,7.2,2015
2.28135,25000000,42972994,Legend,Brian Helgeland,131,Crime|Thriller,Working Title Films|Cross Creek Pictures|Anton Capital Entertainment (ACE),619,6.7,2015
2.234573,150000000,128388320,Pan,Joe Wright,111,Adventure|Family|Fantasy,Warner Bros.|Moving Picture Company (MPC)|Berlanti Productions|RatPac-Dune Entertainment,586,5.9,2015
2.140199,99000000,246233113,The Peanuts Movie,Steve Martino,88,Adventure|Animation|Comedy|Family,Blue Sky Studios|Twentieth Century Fox Animation|Feigco Entertainment,414,6.4,2015
2.121884,35000000,48623572,Concussion,Peter Landesman,123,Drama,Village Roadshow Pictures|Scott Free Productions|LStar Capital|The Cantillon Company|The Shuman Company,500,6.9,2015
2.096273,25000000,52395996,The Night Before,Jonathan Levine,100,Comedy,Sony Pictures|Point Grey Pictures|Good Universe,363,6.1,2015
2.0809349999999998,2500000,5214043,Knock Knock,Eli Roth,99,Drama|Horror|Thriller,Universum Film (UFA)|Dragonfly Entertainment|Black Bear Pictures|Square One Entertainment|Sobras International Pictures,473,4.8,2015
2.070708,34000000,63013281,The Longest Ride,"George Tillman, Jr.",128,Romance|Drama,Fox 2000 Pictures|Temple Hill Entertainment,711,7.3,2015
2.060162,80000000,466183544,Hotel Transylvania 2,Genndy Tartakovsky,89,Animation|Comedy|Family,Columbia Pictures|Sony Pictures Animation,919,6.8,2015
2.055572,17000000,24000000,Love the Coopers,Jessie Nelson,107,Family|Comedy,Imagine Entertainment|Groundswell Productions|CBS Films,111,5.3,2015
2.049886,35000000,61181942,The Walk,Robert Zemeckis,123,Adventure|Drama|Thriller,TriStar Pictures|Sony Pictures Entertainment|ImageMovers,706,6.8,2015
2.0266509999999998,11000000,1863315,Tracers,Daniel Benmayor,94,Action|Crime|Drama,Temple Hill Entertainment|Senator Film|Freerunning|Melbarken|Saban Films,326,5.9,2015
2.000338,31000000,104384188,Vacation,John Francis Daley|Jonathan M. Goldstein,99,Adventure|Comedy,New Line Cinema|BenderSpink|David Dobkin Productions,846,6.1,2015
1.984529,35000000,95437994,Poltergeist,Gil Kenan,93,Horror|Thriller,Ghost House Pictures|Vertigo Entertainment|Metro-Goldwyn-Mayer (MGM)|TSG Entertainment,589,5.0,2015
1.9800389999999999,4000000,187112,Maggie,Henry Hobson,95,Horror,Lionsgate|Grindstone Entertainment Group|Silver Reel|Sly Predator|Matt Baer Films,384,5.1,2015
1.95632,50000000,3324330,Child 44,Daniel Espinosa,137,Crime|Thriller,Summit Entertainment|Scott Free Productions|Worldview Entertainment,341,5.9,2015
1.926739,5000000,58978653,The Gift,Joel Edgerton,108,Thriller|Mystery,Blumhouse Productions|Blue-Tongue Films|STX Entertainment|Ahimsa Films,631,6.6,2015
1.904898,50000000,240360392,Daddy's Home,Sean Anders,96,Comedy,Paramount Pictures|Gary Sanchez Productions|Good Universe|Red Granite Pictures,568,5.7,2015
1.865007,64000000,97571250,The Little Prince,Mark Osborne,92,Adventure|Animation|Fantasy,Onyx Films|Orange Studios|CityMation|On Entertainment|Zippcast Films,423,7.5,2015
1.82313,11930000,18340000,The Dressmaker,Jocelyn Moorhouse,118,Drama,Amazon Studios|Film Art Media|Apollo Media,197,6.9,2015
1.758618,8500000,43528634,The DUFF,Ari Sandel,100,Romance|Comedy,Wonderland Sound and Vision|CBS Films|Vast Entertainment,753,6.8,2015
1.742286,10000000,52882018,Sinister 2,Ciaran Foy,97,Horror,Alliance Films|Blumhouse Productions|IM Global|Automatik Entertainment|Entertainment One,331,5.5,2015
1.73518,30000000,107597242,Paul Blart: Mall Cop 2,Andy Fickman,94,Action|Adventure|Comedy|Family,Columbia Pictures|Happy Madison Productions|Sony Pictures Releasing|Sony Pictures Home Entertainment|Sony Pictures Entertainment (SPE),422,5.3,2015
1.6510779999999898,4000000,50163103,The Boy Next Door,Rob Cohen,91,Thriller,Universal Pictures|Nuyorican Productions|Blumhouse Productions|Smart Entertainment,810,3.9,2015
1.532997,30000000,49263404,Entourage,Doug Ellin,104,Comedy,Warner Bros.|Closest to the Hole Productions,364,6.2,2015
1.5100959999999999,23000000,79799880,The Wedding Ringer,Jeremy Garelick,101,Comedy,Miramax Films|Screen Gems|LStar Capital,446,6.5,2015
1.499614,15000000,14860766,Scouts Guide to the Zombie Apocalypse,Christopher B. Landon,93,Comedy|Horror,Paramount Pictures|Oops Doughnuts Productions|Broken Road Productions|Brucks Entertainment,288,6.2,2015
1.495112,5000000,98450062,The Visit,M. Night Shyamalan,94,Horror|Thriller,Blumhouse Productions|Blinding Edge Pictures,729,5.9,2015
1.4832459999999899,53000000,99775678,Black Mass,Scott Cooper,122,Crime|Drama,Infinitum Nihil|Head Gear Films|Cross Creek Pictures|Free State Pictures|RatPac-Dune Entertainment,848,6.3,2015
1.449072,8900000,50136,Heist,Scott Mann,93,Crime|Action|Thriller,Emmett/Furla Films|Silver Plane Films|Mass Hysteria Entertainment|Tri Vision Pictures,233,5.4,2015
1.448002,15000000,61548707,Krampus,Michael Dougherty,98,Horror|Comedy|Fantasy,Universal Pictures|Legendary Pictures,342,5.9,2015
1.443406,20000000,208588,Dark Places,Gilles Paquet-Brenner,113,Drama|Mystery|Thriller,Denver and Delilah Productions|Mandalay Vision|Exclusive Media Group|Hugo Productions|Cuatro Plus Films,322,5.7,2015
1.41239,5000000,54418872,No Escape,John Erick Dowdle,103,Action|Thriller,Bold Films|Living Films|Brothers Dowdle Productions,519,6.7,2015
1.40805,700000,17986781,Dope,Rick Famuyiwa,103,Crime|Drama|Comedy,Forest Whitaker's Significant Productions|Revolt Films|IamOTHER Entertainment,448,7.3,2015
1.3882510000000001,28000000,28208085,American Ultra,Nima Nourizadeh,96,Comedy|Action,Concorde Filmverleih|Likely Story|FilmNation Entertainment|Circle of Confusion|The Bridge Finance Company,695,5.9,2015
1.388032,11000000,61619773,Woman in Gold,Simon Curtis,120,Drama,BBC Films|Origin Pictures,277,7.3,2015
1.3766049999999999,30000000,105011053,Sisters,Jason Moore,118,Comedy,Little Stranger,399,5.9,2015
1.360926,12000000,32248241,Project Almanac,Dean Israelite,106,Science Fiction|Thriller,Paramount Pictures|MTV Films|Platinum Dunes|Insurge Pictures,637,6.3,2015
1.3558219999999999,25000000,72629670,The Transporter Refueled,Camille Delamarre,96,Thriller|Action|Crime,EuropaCorp,407,5.3,2015
1.345982,55000000,74679822,Crimson Peak,Guillermo del Toro,119,Mystery|Thriller|Fantasy|Horror|Drama,Legendary Pictures,819,6.4,2015
1.338481,14800000,122413057,Magic Mike XXL,Gregory Jacobs,115,Comedy|Drama|Music,Warner Bros.|Iron Horse Entertainment (II),501,6.3,2015
1.338322,10000000,78099553,Paranormal Activity: The Ghost Dimension,Gregory Plotkin,88,Horror|Thriller,Paramount Pictures|Blumhouse Productions,267,5.0,2015
1.316239,15000000,8235661,Trumbo,Jay Roach,124,Drama,Groundswell Productions|Inimitable Pictures|ShivHans Pictures,273,7.2,2015
1.315266,19500000,32189727,Secret in Their Eyes,Billy Ray,111,Crime|Drama|Mystery,Ingenious Media|Gran Via Productions|IM Global|Route One Films,202,6.2,2015
1.291013,74000000,311594032,The SpongeBob Movie: Sponge Out of Water,Paul Tibbitt,93,Family|Animation,Paramount Pictures|Nickelodeon Movies|Nickelodeon Animation Studios|United Plankton Pictures|Disruption Entertainment,533,5.7,2015
1.278928,20000000,43967255,Max,Boaz Yakin,111,Adventure|Drama|Family,Sunswept Entertainment|Warner Bros.|Metro-Goldwyn-Mayer (MGM),214,7.0,2015
1.225325,40000000,10664749,The Gunman,Pierre Morel,115,Action|Drama|Crime,StudioCanal|Silver Pictures|TF1 Films Production|Canal+|Instituto de la CinematografÃ­a y de las Artes Audiovisuales (ICAA),283,5.6,2015
1.191138,1000000,62882090,Unfriended,Levan Gabriadze,82,Horror|Thriller,Bazelevs Production|Blumhouse Productions,643,5.6,2015
1.178831,35000000,51680201,Hot Pursuit,Anne Fletcher,87,Action|Crime|Comedy,New Line Cinema|Warner Bros.|Metro-Goldwyn-Mayer (MGM)|Pacific Standard,472,5.5,2015
1.1647239999999999,10000000,104303851,Insidious: Chapter 3,Leigh Whannell,97,Drama|Horror|Thriller,Sony Pictures,610,6.3,2015
1.142518,6000000,41387687,The Lady in the Van,Nicholas Hytner,104,Comedy|Drama,BBC Films|TriStar Productions,135,5.9,2015
1.138395,40000000,34227298,Victor Frankenstein,Paul McGuigan,109,Drama|Science Fiction|Thriller,Twentieth Century Fox Film Corporation|Davis Entertainment|Moving Picture Company (MPC)|TSG Entertainment,408,5.5,2015
1.1252389999999999,8000000,3759286,Anomalisa,Duke Johnson|Charlie Kaufman,90,Animation|Comedy|Drama|Romance,Starburns Industries,259,6.7,2015
1.03839,2000000,1477002,The Diary of a Teenage Girl,Marielle Heller,102,Drama|Romance,Caviar Films|Cold Iron Pictures|Archer Gray,186,6.8,2015
1.0070540000000001,11000000,27391084,Irrational Man,Woody Allen,95,Mystery|Drama,Sony Pictures|Gravier Productions,319,6.1,2015
0.956096,18000000,41325328,Ricki and the Flash,Jonathan Demme,100,Comedy|Drama|Music,Columbia TriStar|Clinica Estetico|LStar Capital,152,5.5,2015
0.950793,12000000,60273173,The Perfect Guy,David M. Rosenthal,100,Drama|Thriller,Screen Gems,122,5.6,2015
0.9376200000000001,10000000,7587485,While We're Young,Noah Baumbach,97,Drama|Comedy,Scott Rudin Productions|A24,265,5.9,2015
0.9273389999999999,40000000,106511453,Get Hard,Etan Cohen,100,Comedy,Gary Sanchez Productions|Warner Bros.,661,5.9,2015
0.9060360000000001,25000000,24902723,The 33,Patricia Riggen,120,History|Drama,Alcon Entertainment|Phoenix Pictures|Fabula|Half Circle,262,5.8,2015
0.898295999999999,14000000,16002420,Suffragette,Sarah Gavron,106,Drama|History,Ruby Films|PathÃ©|Film4,231,7.1,2015
0.880937999999999,6000000,11122090,We Are Your Friends,Max Joseph,96,Drama|Music|Romance,Working Title Films,412,6.2,2015
0.8324870000000001,10000000,85978266,The Second Best Exotic Marigold Hotel,John Madden,122,Drama|Comedy,Participant Media|Fox Searchlight|Blueprint Pictures,196,6.4,2015
0.829111,20000000,6420319,Little Boy,Alejandro Monteverde,106,Comedy|Drama|War,Metanoia Films,113,7.1,2015
0.814206,37000000,26250020,Aloha,Cameron Crowe,105,Adventure|Comedy|Romance,Columbia Pictures|Vinyl Films|Regency Enterprises|Sony Pictures Entertainment (SPE)|RatPac Entertainment,469,5.2,2015
0.795762,28000000,7002261,Our Brand Is Crisis,David Gordon Green,108,Drama|Comedy,Participant Media|Smokehouse Pictures,122,5.7,2015
0.706023,7000000,573335,Freeheld,Peter Sollett,103,Romance|Drama,Double Feature Films|Endgame Entertainment|High Frequency Entertainment,86,7.1,2015
0.699932,3000000,695269,Love,Gaspar NoÃ©,134,Drama|Romance,Wild Bunch|Les CinÃ©mas de la Zone|Rectangle Productions|Scope Pictures|RT Features,307,4.7,2015
0.69957,9600000,2541554,Truth,James Vanderbilt,121,Drama,Echo Lake Entertainment|RatPac Entertainment|Mythology Entertainment (II),89,6.4,2015
0.690479,10000000,10835752,Danny Collins,Dan Fogelman,107,Comedy|Drama|Music,Big Indie Pictures|ShivHans Pictures,114,6.6,2015
0.6895789999999989,15000000,3020664,Rock the Kasbah,Barry Levinson,100,Comedy|Music|War,Shangri-La Entertainment|QED International|Dune Films|Venture Forth,56,5.1,2015
0.6737920000000001,1000000,14444999,"Hello, My Name Is Doris",Michael Showalter,95,Comedy|Drama|Romance,Red Crown Productions|Haven Entertainment,87,6.6,2015
0.669351,13000000,1784763,The Vatican Tapes,Mark Neveldine,91,Thriller|Horror,Lakeshore Entertainment|Lionsgate|H2F Entertainment|Pantelion Films,164,4.5,2015
0.661471,8000000,1411927,99 Homes,Ramin Bahrani,112,Drama,Imagenation Abu Dhabi FZ|Hyde Park Entertainment|Broad Green Pictures|Noruz Films,121,6.8,2015
0.6611630000000001,14000000,12314651,Hot Tub Time Machine 2,Steve Pink,93,Comedy,Paramount Pictures|Metro-Goldwyn-Mayer (MGM),244,5.0,2015
0.654046,4000000,143101,Manglehorn,David Gordon Green,97,Drama,Worldview Entertainment,35,5.0,2015
0.602165,8000000,35991087,A Walk in the Woods,Ken Kwapis,104,Drama|Adventure|Comedy,Wildwood Enterprises|Route One Films,171,5.4,2015
0.599655,3300000,64110728,The Lazarus Effect,David Gelb,83,Thriller|Horror,Lionsgate|Blumhouse Productions|Chapter One Films,327,4.9,2015
0.577814,35000000,14431253,Unfinished Business,Ken Scott,90,Comedy,Studio Babelsberg|Regency Enterprises|Escape Artists|New Regency Pictures,241,4.9,2015
0.570743999999999,2000000,45431,Lost River,Ryan Gosling,95,Fantasy|Thriller,Bold Films|Marc Platt Productions|Phantasma,129,5.7,2015
0.532205,100000,42664410,The Gallows,Travis Cluff|Chris Lofing,87,Horror|Thriller,New Line Cinema|Blumhouse Productions|Management 360|Tremendum Pictures,247,5.0,2015
0.524315,10000000,3334927,By the Sea,Angelina Jolie,122,Drama|Romance,Plan B Entertainment|Jolie Pas|Pellikola,82,5.4,2015
0.46208999999999995,9000000,21571189,Black or White,Mike Binder,121,Drama,Treehouse Pictures,72,6.7,2015
0.45087200000000005,13000000,1646788,I Saw the Light,Marc Abraham,123,Drama|Music,Bron Studios|RatPac Entertainment,19,5.6,2015
0.43558199999999997,5000000,2333684,Jem and the Holograms,Jon M. Chu,119,Drama|Music|Adventure|Fantasy,Universal Pictures|Blumhouse Productions|Hasbro Studios|Allspark Pictures,69,5.7,2015
0.424813,6000000,90777,Beasts of No Nation,Cary Fukunaga,137,Drama|War,Participant Media|Focus Features|Red Crown Productions,306,7.5,2015
0.41491300000000003,3000000,3387000,Demonic,Will Canon,83,Thriller|Horror,Icon Entertainment International|Dimension Films|First Point Entertainment|IM Global,91,5.0,2015
0.40223600000000004,447524,771317,The D Train,Andrew Mogel|Jarrad Paul,101,Drama|Comedy,Ealing Studios|Electric Dynamite|Rip Cord Productions|Londinium Films,47,4.2,2015
0.36590100000000003,10000000,17472,Strangerland,Kim Farrant,111,Drama|Thriller,Worldview Entertainment,48,5.0,2015
0.336107,2000000,2801508,Captive,Jerry Jameson,97,Crime|Drama|Thriller,Itaca Films|BN Films|Brightside Entertainment|1019 Entertainment|Yoruba Saxon Productions,55,5.7,2015
0.29875100000000004,5000000,4842699,90 Minutes in Heaven,Michael Polish,121,Drama,Emmett/Furla Films|Giving Films,24,5.7,2015
0.259794,600000,7087452,Grandma,Paul Weitz,78,Drama|Comedy,Depth of Field|1821 Pictures,81,5.6,2015
0.7310220000000001,3000000,67790117,War Room,Alex Kendrick,120,Drama,Provident Films|Affirm Films|Kendrick Brothers Productions,57,6.9,2015
0.07610900000000001,13500000,187674,Stonewall,Roland Emmerich,129,Drama,Centropolis Entertainment|Mel's Cite du Cinema,14,5.6,2015
24.949134,165000000,621752480,Interstellar,Christopher Nolan,169,Adventure|Drama|Science Fiction,Paramount Pictures|Legendary Pictures|Warner Bros.|Syncopy|Lynda Obst Productions,6498,8.0,2014
14.311205,170000000,773312399,Guardians of the Galaxy,James Gunn,121,Action|Science Fiction|Adventure,Marvel Studios|Moving Picture Company (MPC)|Bulletproof Cupid|Revolution Sun Studios,5612,7.9,2014
12.971027000000001,170000000,714766572,Captain America: The Winter Soldier,Joe Russo|Anthony Russo,136,Action|Adventure|Science Fiction,Marvel Studios,3848,7.6,2014
11.422751,20000000,78739897,John Wick,Chad Stahelski|David Leitch,101,Action|Thriller,Thunder Road Pictures|Warner Bros.|87Eleven|DefyNite Films|MJW Films,2712,7.0,2014
10.739009,125000000,752100229,The Hunger Games: Mockingjay - Part 1,Francis Lawrence,123,Science Fiction|Adventure|Thriller,Lionsgate|Color Force,3590,6.6,2014
